PageTitle;No.ErrorTypes;ErrorsTotal;ErrorDetails
amazon.html.json;6;6;['bypass', 1, 'html-has-lang', 1, 'label', 1, 'landmark-one-main', 1, 'page-has-heading-one', 1, 'region', 1]
bahn.html.json;9;19;['autocomplete-valid', 3, 'button-name', 1, 'duplicate-id-aria', 1, 'heading-order', 1, 'label', 4, 'link-name', 5, 'listitem', 2, 'radiogroup', 1, 'region', 1]
bild.html.json;4;27;['color-contrast', 16, 'html-has-lang', 1, 'image-alt', 2, 'link-name', 8]
booking.html.json;8;23;['aria-allowed-role', 10, 'aria-valid-attr-value', 1, 'frame-title', 1, 'label', 2, 'landmark-no-duplicate-banner', 1, 'link-name', 6, 'list', 1, 'region', 1]
br.html.json;4;5;['empty-heading', 2, 'landmark-one-main', 1, 'link-name', 1, 'region', 1]
bunte.html.json;3;7;['link-name', 5, 'page-has-heading-one', 1, 'region', 1]
chaturbate.html.json;11;45;['aria-allowed-role', 1, 'checkboxgroup', 1, 'color-contrast', 29, 'definition-list', 5, 'empty-heading', 1, 'image-alt', 1, 'label', 1, 'landmark-one-main', 1, 'link-name', 1, 'list', 3, 'region', 1]
check24.html.json;7;13;['color-contrast', 2, 'duplicate-id', 3, 'frame-title', 2, 'heading-order', 2, 'landmark-one-main', 1, 'link-name', 2, 'region', 1]
chefkoch.html.json;6;12;['aria-required-children', 1, 'autocomplete-valid', 1, 'color-contrast', 4, 'duplicate-id-active', 1, 'label', 2, 'link-name', 3]
chip.html.json;10;99;['aria-allowed-role', 6, 'aria-required-children', 1, 'autocomplete-valid', 1, 'color-contrast', 71, 'duplicate-id', 6, 'frame-title', 1, 'heading-order', 2, 'label', 1, 'region', 1, 'tabindex', 9]
derwesten.html.json;5;9;['aria-allowed-role', 2, 'aria-valid-attr-value', 1, 'duplicate-id-aria', 3, 'duplicate-id', 2, 'region', 1]
dhl.html.json;11;23;['aria-required-children', 1, 'button-name', 3, 'duplicate-id-active', 1, 'empty-heading', 7, 'heading-order', 1, 'landmark-one-main', 1, 'link-name', 3, 'listitem', 2, 'meta-viewport', 1, 'object-alt', 2, 'region', 1]
ebay.html.json;6;18;['aria-allowed-attr', 1, 'aria-allowed-role', 3, 'aria-valid-attr', 3, 'label', 1, 'link-name', 9, 'region', 1]
facebook.html.json;2;43;['color-contrast', 42, 'region', 1]
fandom.html.json;4;28;['color-contrast', 24, 'landmark-one-main', 1, 'link-name', 2, 'region', 1]
faz.html.json;11;152;['aria-allowed-role', 2, 'button-name', 5, 'color-contrast', 136, 'frame-title', 1, 'image-alt', 1, 'label', 1, 'landmark-one-main', 1, 'link-name', 2, 'page-has-heading-one', 1, 'region', 1, 'skip-link', 1]
focus.html.json;5;17;['button-name', 1, 'color-contrast', 11, 'duplicate-id', 3, 'frame-title', 1, 'region', 1]
fr.html.json;4;53;['aria-allowed-role', 3, 'frame-title', 2, 'link-name', 47, 'page-has-heading-one', 1]
gala.html.json;2;2;['landmark-no-duplicate-banner', 1, 'region', 1]
giga.html.json;4;5;['label', 1, 'landmark-one-main', 1, 'link-name', 2, 'region', 1]
github.html.json;5;23;['aria-allowed-role', 4, 'autocomplete-valid', 1, 'color-contrast', 15, 'label', 1, 'link-name', 2]
gmx.html.json;8;29;['button-name', 2, 'bypass', 1, 'color-contrast', 21, 'label', 1, 'landmark-one-main', 1, 'link-name', 1, 'page-has-heading-one', 1, 'region', 1]
google.html.json;6;6;['bypass', 1, 'label-title-only', 1, 'landmark-one-main', 1, 'link-name', 1, 'page-has-heading-one', 1, 'region', 1]
idealo.html.json;7;32;['aria-allowed-role', 1, 'autocomplete-valid', 1, 'button-name', 12, 'color-contrast', 15, 'image-alt', 1, 'label', 1, 'link-name', 1]
ikea.html.json;1;1;['region', 1]
immobilienscout24.html.json;4;40;['aria-allowed-role', 4, 'color-contrast', 29, 'link-name', 6, 'region', 1]
instagram.html.json;4;4;['landmark-one-main', 1, 'meta-viewport-large', 1, 'page-has-heading-one', 1, 'region', 1]
joyclub.html.json;6;19;['bypass', 1, 'checkboxgroup', 1, 'label', 14, 'landmark-one-main', 1, 'page-has-heading-one', 1, 'region', 1]
kaufland.html.json;8;37;['aria-allowed-role', 2, 'bypass', 1, 'checkboxgroup', 1, 'color-contrast', 1, 'landmark-one-main', 1, 'link-name', 29, 'page-has-heading-one', 1, 'region', 1]
