alt_text_missing,link_empty,h1_missing,heading_empty,heading_skipped,button_empty,lang_missing,region_missing,table_layout,noscript,alt_suspicious,event_handler,text_justified,text_small,heading_possible,internal_link_broken,link_redundant,alt_duplicate,link_suspicious,label_missing,title_redundant,alt_redundant,contrast,color_failed,text_size-failed,file
0, 0, 1, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 'amazon.html'
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 39, 6, 0, 0, 0, 0, 0, 'bahn.html'
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 410, 0, 0, 0, 4, 0, 0, 'bild.html'
0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 46, 2, 0, 4, 0, 0, 0, 'booking.html'
0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 109, 2, 0, 4, 0, 0, 0, 'br.html'
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 117, 0, 0, 0, 0, 0, 0, 'bunte.html'
0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 93, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 'chaturbate.html'
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 22, 31, 0, 15, 2, 0, 2, 20, 95, 47, 0, 22, 1, 0, 0, 'check24.html'
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 'chefkoch.html'
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 98, 1, 0, 0, 0, 0, 0, 'chip.html'
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 0, 'derwesten.html'
0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 108, 0, 0, 1, 0, 0, 0, 'dhl.html'
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 1, 3, 0, 'ebay.html'
0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 10, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 'facebook.html'
0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 0, 0, 0, 0, 0, 'fandom.html'
0, 12, 1, 0, 0, 0, 0, 1, 0, 0, 66, 13, 0, 0, 0, 0, 0, 58, 196, 4, 0, 66, 13, 0, 0, 'faz.html'
0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 170, 0, 2, 0, 0, 14, 7, 235, 3, 0, 0, 0, 0, 0, 'finanzen.html'
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 247, 0, 0, 0, 0, 0, 0, 'focus.html'
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 'fr.html'
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 45, 0, 0, 'gala.html'
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 'giga.html'
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 28, 1, 0, 2, 0, 4, 0, 'github.html'
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 'gmx.html'
0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 'google.html'
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 'idealo.html'
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 7, 0, 'ikea.html'
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 7, 9, 0, 0, 0, 0, 0, 'immobilienscout24.html'
0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 'instagram.html'
0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 47, 7, 0, 1, 0, 0, 0, 'joyclub.html'
0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 2, 0, 0, 0, 0, 0, 'kaufland.html'
