alt_text_missing,link_empty,h1_missing,heading_empty,heading_skipped,button_empty,lang_missing,region_missing,table_layout,noscript,alt_suspicious,event_handler,text_justified,text_small,heading_possible,internal_link_broken,link_redundant,alt_duplicate,link_suspicious,label_missing,title_redundant,alt_redundant,contrast,color_failed,text_size-failed,file
0, 3, 1, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 'amazon.html'
0, 48, 0, 1, 0, 9, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 8, 6, 16, 6, 4, 7, 0, 0, 0, 'bahn.html'
0, 548, 0, 163, 0, 4, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 1, 0, 124, 0, 3, 0, 4, 0, 0, 'bild.html'
6, 101, 0, 2, 0, 16, 0, 2, 0, 1, 8, 0, 0, 0, 0, 0, 2, 2, 16, 2, 9, 4, 0, 0, 0, 'booking.html'
0, 131, 0, 98, 0, 0, 0, 1, 0, 1, 5, 0, 0, 0, 0, 1, 5, 0, 78, 2, 105, 1, 0, 0, 0, 'br.html'
0, 109, 1, 75, 1, 3, 0, 0, 0, 1, 6, 1, 0, 0, 0, 0, 6, 63, 59, 0, 126, 0, 0, 0, 0, 'bunte.html'
4, 99, 1, 0, 1, 0, 0, 4, 0, 0, 0, 93, 0, 0, 0, 0, 92, 0, 22, 0, 10, 0, 1, 0, 0, 'chaturbate.html'
35, 263, 0, 9, 0, 2, 0, 1, 1, 1, 17, 31, 0, 15, 2, 6, 42, 11, 41, 47, 261, 15, 11, 0, 0, 'check24.html'
0, 188, 1, 0, 3, 29, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9, 2, 42, 0, 22, 0, 0, 0, 0, 'chefkoch.html'
0, 155, 1, 69, 1, 35, 0, 0, 0, 1, 32, 1, 0, 0, 0, 0, 14, 46, 89, 1, 360, 24, 0, 0, 0, 'chip.html'
0, 65, 1, 78, 1, 12, 0, 0, 0, 1, 6, 0, 0, 1, 0, 0, 58, 4, 50, 0, 2, 5, 0, 1, 0, 'derwesten.html'
0, 146, 0, 13, 0, 7, 0, 2, 0, 1, 28, 1, 0, 0, 0, 2, 13, 16, 43, 0, 63, 25, 0, 0, 0, 'dhl.html'
0, 111, 0, 14, 0, 12, 0, 1, 4, 1, 43, 7, 0, 0, 0, 0, 7, 61, 35, 2, 2, 38, 45, 17, 0, 'ebay.html'
1, 3, 1, 0, 1, 0, 0, 4, 0, 1, 1, 10, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 'facebook.html'
0, 72, 1, 1, 1, 8, 0, 2, 0, 1, 21, 0, 0, 0, 0, 0, 2, 18, 18, 2, 0, 17, 0, 0, 0, 'fandom.html'
79, 264, 0, 138, 0, 17, 0, 1, 0, 1, 17, 13, 0, 0, 0, 0, 16, 1, 133, 4, 111, 0, 13, 0, 0, 'faz.html'
0, 273, 1, 58, 1, 2, 0, 2, 22, 1, 39, 170, 0, 2, 0, 1, 217, 38, 241, 3, 175, 30, 0, 0, 0, 'finanzen.html'
5, 371, 1, 2, 1, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 65, 0, 202, 0, 244, 0, 0, 0, 0, 'focus.html'
0, 104, 0, 98, 2, 0, 0, 1, 0, 1, 4, 0, 0, 0, 0, 0, 1, 0, 89, 0, 186, 2, 0, 0, 0, 'fr.html'
0, 120, 0, 108, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 71, 0, 50, 3, 90, 0, 0, 'gala.html'
0, 42, 1, 55, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 5, 37, 24, 0, 0, 0, 0, 0, 0, 'giga.html'
0, 57, 0, 6, 0, 24, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 22, 15, 1, 0, 27, 0, 4, 0, 'github.html'
0, 54, 0, 2, 0, 1, 1, 1, 0, 1, 14, 0, 0, 0, 0, 0, 0, 5, 22, 0, 0, 9, 0, 0, 0, 'gmx.html'
0, 1, 1, 0, 0, 0, 0, 4, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 2, 'google.html'
0, 44, 0, 0, 0, 28, 0, 0, 0, 1, 14, 0, 0, 0, 0, 0, 1, 1, 40, 0, 8, 14, 0, 0, 0, 'idealo.html'
2, 40, 0, 0, 0, 10, 0, 1, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 115, 0, 0, 6, 0, 28, 0, 'ikea.html'
