alt_text_missing,link_empty,h1_missing,heading_empty,heading_skipped,button_empty,lang_missing,region_missing,table_layout,noscript,alt_suspicious,event_handler,text_justified,text_small,heading_possible,internal_link_broken,link_redundant,alt_duplicate,link_suspicious,label_missing,title_redundant,alt_redundant,contrast,color_failed,text_size-failed,link_info_failed,alt_creation_failed,file
0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'amazon.html'
0, 48, 0, 1, 0, 9, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 8, 0, 36, 0, 4, 0, 0, 0, 0, 1, 0, 'bahn.html'
0, 548, 0, 34, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 449, 0, 0, 0, 4, 0, 0, 6, 0, 'bild.html'
6, 101, 0, 2, 1, 16, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 2, 2, 47, 0, 4, 0, 0, 0, 0, 1, 0, 'booking.html'
0, 129, 0, 9, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 1, 5, 3, 99, 2, 17, 0, 0, 0, 0, 2, 0, 'br.html'
0, 109, 1, 8, 0, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 6, 0, 117, 0, 129, 0, 0, 0, 0, 4, 0, 'bunte.html'
4, 99, 1, 0, 0, 0, 0, 0, 0, 0, 2, 93, 0, 0, 0, 0, 92, 1, 15, 0, 8, 0, 1, 0, 0, 1, 0, 'chaturbate.html'
35, 263, 0, 9, 0, 2, 0, 0, 1, 1, 37, 31, 0, 15, 1, 6, 42, 1, 113, 10, 199, 0, 1, 0, 1, 0, 0, 'check24.html'
0, 188, 1, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 124, 0, 18, 0, 0, 0, 0, 3, 0, 'chefkoch.html'
0, 155, 1, 24, 0, 35, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 13, 0, 104, 2, 237, 0, 0, 0, 0, 2, 0, 'chip.html'
0, 65, 1, 78, 0, 12, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 56, 0, 2, 0, 0, 1, 1, 0, 0, 'derwesten.html'
0, 145, 0, 10, 2, 7, 0, 0, 0, 1, 1, 1, 0, 0, 0, 2, 13, 0, 114, 4, 0, 0, 0, 0, 0, 2, 0, 'dhl.html'
0, 111, 0, 11, 1, 12, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 1, 0, 56, 0, 0, 0, 3, 3, 0, 29, 0, 'ebay.html'
1, 3, 1, 0, 0, 0, 0, 0, 0, 1, 2, 10, 0, 0, 0, 0, 0, 0, 7, 2, 3, 0, 0, 0, 0, 0, 0, 'facebook.html'
0, 72, 1, 1, 0, 8, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 1, 0, 17, 1, 0, 0, 0, 0, 0, 2, 0, 'fandom.html'
79, 252, 0, 24, 0, 17, 0, 0, 0, 1, 80, 13, 0, 0, 0, 0, 16, 0, 196, 4, 103, 0, 13, 0, 0, 2, 0, 'faz.html'
0, 273, 1, 58, 1, 1, 0, 0, 22, 1, 8, 170, 0, 0, 0, 1, 205, 1, 272, 3, 57, 0, 0, 0, 3, 5, 9, 'finanzen.html'
5, 371, 1, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 65, 0, 256, 3, 67, 0, 0, 0, 0, 2, 5, 'focus.html'
0, 104, 1, 98, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 59, 0, 41, 0, 0, 0, 0, 162, 0, 'fr.html'
0, 120, 0, 8, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 124, 0, 49, 0, 45, 0, 0, 1, 0, 'gala.html'
0, 42, 1, 55, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 21, 0, 1, 0, 0, 0, 0, 0, 0, 'giga.html'
0, 57, 0, 6, 0, 15, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 1, 29, 1, 0, 0, 0, 4, 0, 2, 0, 'github.html'
0, 54, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 42, 2, 0, 0, 0, 0, 0, 1, 0, 'gmx.html'
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 'google.html'
0, 32, 0, 0, 0, 28, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 60, 0, 1, 0, 0, 0, 0, 1, 0, 'idealo.html'
